Hall,Meal,Station,Dish
South Pointe At Case,Lunch,Mibowl,Scrambled Eggs
South Pointe At Case,Lunch,S2,Salad Bar
South Pointe At Case,Lunch,Soup,Beef and Noodle Soup
South Pointe At Case,Lunch,Soup,Vegan Tortilla Soup
South Pointe At Case,Lunch,Veg Out,Cajun Fried Okra
South Pointe At Case,Lunch,Veg Out,Cornbread
South Pointe At Case,Lunch,Veg Out,Vegan Garlic Basil Aioli
South Pointe At Case,Lunch,Veg Out,Vegan Jambalaya
South Pointe At Case,Dinner,Bliss,Brownie
South Pointe At Case,Dinner,Bliss,Caramel Iced Banana Sheet Cake
South Pointe At Case,Dinner,Bliss,Chocolate Chip Cookie
South Pointe At Case,Dinner,Bliss,Chocolate Iced Chocolate Cake
South Pointe At Case,Dinner,Bliss,Iced Cupcakes
South Pointe At Case,Dinner,Bliss,M&M Cookie
South Pointe At Case,Dinner,Bliss,Rice Krispie Bars
South Pointe At Case,Dinner,Bliss,Snickerdoodle Layer Cake
South Pointe At Case,Dinner,Bliss,Sugar Cookie
South Pointe At Case,Dinner,Bliss,Vegan Chocolate Chip Cookie
South Pointe At Case,Dinner,Bliss,Vegan Vanilla Cupcake
South Pointe At Case,Dinner,Brimstone,Black Bean Burger
South Pointe At Case,Dinner,Brimstone,Cheeseburger
South Pointe At Case,Dinner,Brimstone,Chicken Patty Sandwich
South Pointe At Case,Dinner,Brimstone,Crinkle Fries
South Pointe At Case,Dinner,Brimstone,Grilled Chicken Sandwich
South Pointe At Case,Dinner,Brimstone,Quarter Pound Burger
South Pointe At Case,Dinner,Ciao!,Buffalo Chicken Wrap
South Pointe At Case,Dinner,Ciao!,Cheese Pizza
South Pointe At Case,Dinner,Ciao!,Pepperoni Pizza
South Pointe At Case,Dinner,Ciao!,Sausage Pizza
South Pointe At Case,Dinner,GLP,Herb Roasted Turkey
South Pointe At Case,Dinner,GLP,Mashed Red Potatoes
South Pointe At Case,Dinner,GLP,Steamed Peas and Carrots
South Pointe At Case,Dinner,GLP,Turkey Gravy
South Pointe At Case,Dinner,Mibowl,Shrimp Fried Rice Grain Bowl
South Pointe At Case,Dinner,S2,Salad Bar
South Pointe At Case,Dinner,Soup,Beef and Noodle Soup
South Pointe At Case,Dinner,Soup,Vegan Tortilla Soup
South Pointe At Case,Dinner,Veg Out,Cajun Fried Okra
South Pointe At Case,Dinner,Veg Out,Quinoa Pilaf
South Pointe At Case,Dinner,Veg Out,"Rice, Kale and Red Bean Stuffed Pepper"
South Pointe At Case,Dinner,Veg Out,Roasted Vegetables
